params,mean_test_score,std_test_score
"{'eval_metric': 'logloss', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 500, 'objective': 'binary:logistic'}",0.7681551646368967,0.004653771527873628
"{'eval_metric': 'error', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 500, 'objective': 'binary:logistic'}",0.7681551646368967,0.004653771527873628
"{'eval_metric': 'auc', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 500, 'objective': 'binary:logistic'}",0.7681551646368967,0.004653771527873628
"{'eval_metric': 'logloss', 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'objective': 'binary:logistic'}",0.7676396675043495,0.005331565073377824
"{'eval_metric': 'error', 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'objective': 'binary:logistic'}",0.7676396675043495,0.005331565073377824
"{'eval_metric': 'auc', 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'objective': 'binary:logistic'}",0.7676396675043495,0.005331565073377824
"{'eval_metric': 'auc', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'objective': 'binary:logistic'}",0.7675752303627812,0.0017024092807040266
"{'eval_metric': 'error', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'objective': 'binary:logistic'}",0.7675752303627812,0.0017024092807040266
"{'eval_metric': 'logloss', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'objective': 'binary:logistic'}",0.7675752303627812,0.0017024092807040266
"{'eval_metric': 'auc', 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'objective': 'binary:logistic'}",0.7671241703718024,0.005285417012541979
"{'eval_metric': 'error', 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'objective': 'binary:logistic'}",0.7671241703718024,0.005285417012541979
"{'eval_metric': 'logloss', 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'objective': 'binary:logistic'}",0.7671241703718024,0.005285417012541979
"{'eval_metric': 'logloss', 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 50, 'objective': 'binary:logistic'}",0.7666086732392552,0.0038929847198900026
"{'eval_metric': 'error', 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 50, 'objective': 'binary:logistic'}",0.7666086732392552,0.0038929847198900026
"{'eval_metric': 'auc', 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 50, 'objective': 'binary:logistic'}",0.7666086732392552,0.0038929847198900026
"{'eval_metric': 'logloss', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200, 'objective': 'binary:logistic'}",0.766286487531413,0.002692516581709675
"{'eval_metric': 'error', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200, 'objective': 'binary:logistic'}",0.766286487531413,0.002692516581709675
"{'eval_metric': 'auc', 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200, 'objective': 'binary:logistic'}",0.766286487531413,0.002692516581709675
"{'eval_metric': 'auc', 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 200, 'objective': 'binary:logistic'}",0.7660931761067079,0.0018202779678878314
"{'eval_metric': 'error', 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 200, 'objective': 'binary:logistic'}",0.7660931761067079,0.0018202779678878314
"{'eval_metric': 'logloss', 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 200, 'objective': 'binary:logistic'}",0.7660931761067079,0.0018202779678878314
"{'eval_metric': 'auc', 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 500, 'objective': 'binary:logistic'}",0.7658998646820027,0.0031920783752821284
"{'eval_metric': 'error', 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 500, 'objective': 'binary:logistic'}",0.7658998646820027,0.0031920783752821284
"{'eval_metric': 'logloss', 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 500, 'objective': 'binary:logistic'}",0.7658998646820027,0.0031920783752821284
"{'eval_metric': 'logloss', 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 500, 'objective': 'binary:logistic'}",0.7658354275404343,0.003251363054718162
"{'eval_metric': 'error', 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 500, 'objective': 'binary:logistic'}",0.7658354275404343,0.003251363054718162
"{'eval_metric': 'auc', 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 500, 'objective': 'binary:logistic'}",0.7658354275404343,0.003251363054718162
"{'eval_metric': 'error', 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'objective': 'binary:logistic'}",0.7657065532572975,0.003284398463141866
"{'eval_metric': 'logloss', 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'objective': 'binary:logistic'}",0.7657065532572975,0.003284398463141866
